indicator_id,canonical_name,mvp_disposition,canonical_definition,source_fields,formula,unit,owner,frequency,evidence_method,evidence_level,financial_status,deduplication_rule,dashboard_surfaces,technical_identifier_status
RH-02,Risco de lacuna crítica,MVP,Exposição ponderada a gaps críticos.,Capacidade + estratégia,Σ(gap × criticidade × população exposta),índice,RH / Estratégia,Mensal,descriptive trend; no causal value without comparator,Descritivo,eligible_after_evidence_gate,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
RH-03,Time-to-fill,MVP,Dias entre abertura e aceite.,ATS,data aceite − data abertura,dias,Talent Acquisition,Mensal,pre/post with matched comparator or difference-in-differences,Quase-experimental,eligible_after_evidence_gate,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
RH-04,Custo por contratação,MVP,Custos de recrutamento divididos pelas admissões.,ATS + financeiro,custos atribuíveis / admissões,R$/contratação,Talent Acquisition,Mensal,pre/post with matched comparator or difference-in-differences,Quase-experimental,eligible_after_evidence_gate,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
RH-05,Qualidade da contratação,deferred_future,"Score composto de desempenho, retenção e fit em 6/12 meses.",ATS + HRIS + performance,"média ponderada(performance, retenção, fit)",score,RH,Trimestral,pre/post with matched comparator or difference-in-differences,Quase-experimental,eligible_after_evidence_gate,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
RH-06,Time-to-productivity,deferred_future,Dias da admissão até marco de produtividade.,HRIS + performance,data marco − data admissão,dias,RH / Operação,Mensal,pre/post with matched comparator or difference-in-differences,Quase-experimental,eligible_after_evidence_gate,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
RH-07,Turnover evitável,deferred_future,Diferença ajustada de turnover entre expostos e comparáveis.,HRIS + cohort,turnover controle − turnover exposto,p.p.,People Analytics,Trimestral,pre/post with matched comparator or difference-in-differences,Quase-experimental,eligible_after_evidence_gate,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
RH-08,Absenteísmo evitado,deferred_future,Diferença de dias de ausência ajustada.,HRIS / saúde,dias baseline − dias após,dias,RH,Mensal,pre/post with matched comparator or difference-in-differences,Quase-experimental,eligible_after_evidence_gate,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
RH-09,Ganho de produtividade,deferred_future,Valor monetizado da melhoria atribuída.,Performance + financeiro,pessoas × custo anual × % ganho × atribuição,R$,Financeiro,Trimestral,pre/post with matched comparator or difference-in-differences,Quase-experimental,eligible_after_evidence_gate,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
RH-10,ROI de desenvolvimento,deferred_future,Retorno financeiro líquido das jornadas.,Financeiro + outcomes,(benefícios atribuídos − custo total) / custo total,%,Financeiro / RH,Trimestral,pre/post with matched comparator or difference-in-differences,Quase-experimental,eligible_after_evidence_gate,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
COM-01,Cobertura de categorias,MVP,Categorias com fornecedores elegíveis.,Fornecedor + categoria,categorias cobertas / categorias prioritárias,%,Compras,Mensal,descriptive trend; no causal value without comparator,Descritivo,unsupported_is_illustrative_only,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
COM-02,Tempo de homologação,MVP,Dias entre início e aprovação.,Compras + fornecedor,data aprovação − data início,dias,Compras,Mensal,pre/post with matched comparator or difference-in-differences,Quase-experimental,eligible_after_evidence_gate,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
COM-03,Taxa de match elegível,MVP,Matches que atendem requisitos obrigatórios.,Match + oportunidade,matches elegíveis / matches gerados,%,Inteligência,Semanal,descriptive trend; no causal value without comparator,Descritivo,eligible_after_evidence_gate,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
COM-04,Ciclo de contratação,MVP,Dias entre demanda e assinatura.,Oportunidade + contrato,data contrato − data demanda,dias,Compras,Mensal,pre/post with matched comparator or difference-in-differences,Quase-experimental,eligible_after_evidence_gate,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
COM-05,Conversão match → contrato,MVP,Contratos originados de matches aceitos.,Match + contrato,contratos / matches aceitos,%,Marketplace,Mensal,pre/post with matched comparator or difference-in-differences,Quase-experimental,eligible_after_evidence_gate,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
COM-06,Saving comprovado,deferred_future,Diferença ajustada entre preço de referência e realizado.,Compras + financeiro,(preço referência − preço realizado) × volume × atribuição,R$,Compras / Financeiro,Mensal,pre/post with matched comparator or difference-in-differences,Quase-experimental,eligible_after_evidence_gate,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
COM-07,Desempenho do fornecedor,deferred_future,Score pós-contratação.,SRM / contrato,"média ponderada(qualidade, prazo, SLA, risco)",score,Compras,Mensal,correlation only; validate with comparable cohort before monetization,Correlação,eligible_after_evidence_gate,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
COM-08,Spend influenciado pela HUB,MVP,Valor de contratos com touchpoint rastreado.,Contrato + atribuição,Σ valor dos contratos influenciados,R$,Marketplace,Mensal,descriptive trend; no causal value without comparator,Descritivo,eligible_after_evidence_gate,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
COM-09,Risco de fornecimento evitado,deferred_future,Redução de probabilidade/impacto após mitigação.,GRC + SRM,perda esperada baseline × redução × atribuição,R$,Riscos,Trimestral,pre/post with matched comparator or difference-in-differences,Quase-experimental,eligible_after_evidence_gate,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
ENT-01,Cobertura de associados,MVP,Associados ativos integrados.,CRM + vínculo,associados com dados / associados ativos,%,Entidade,Mensal,descriptive trend; no causal value without comparator,Descritivo,unsupported_is_illustrative_only,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
ENT-02,Ativação de associados,MVP,Associados ativos em 30 dias.,Eventos + CRM,associados com evento-chave / associados elegíveis,%,CS,Mensal,descriptive trend; no causal value without comparator,Descritivo,eligible_after_evidence_gate,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
ENT-03,Densidade da rede,MVP,Conexões efetivas sobre conexões possíveis/qualificadas.,Match + vínculo,conexões efetivas / conexões qualificadas possíveis,%,Inteligência,Mensal,correlation only; validate with comparable cohort before monetization,Correlação,eligible_after_evidence_gate,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
ENT-04,Valor entregue por associado,deferred_future,Benefício atribuído por associado ativo.,Outcomes + financeiro,benefício atribuído / associados ativos,R$/associado,Financeiro / Entidade,Trimestral,pre/post with matched comparator or difference-in-differences,Quase-experimental,eligible_after_evidence_gate,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
ENT-05,Renovação de associados,deferred_future,Taxa de renovação elegível.,CRM + contrato,renovações / contratos elegíveis,%,CS,Mensal,pre/post with matched comparator or difference-in-differences,Quase-experimental,eligible_after_evidence_gate,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
ENT-06,Receita de novos serviços,MVP,Receita de serviços originados por insights da plataforma.,Contrato + origem,Σ receita reconhecida de serviços com origem HUB,R$,Comercial,Mensal,descriptive trend; no causal value without comparator,Descritivo,eligible_after_evidence_gate,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
ENT-07,Adoção de benchmark,deferred_future,Empresas que consultam e executam ação após benchmark.,Benchmark + eventos,associados com ação / associados expostos,%,Inteligência,Trimestral,correlation only; validate with comparable cohort before monetization,Correlação,eligible_after_evidence_gate,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
ENT-08,Impacto econômico do ecossistema,deferred_future,"Soma deduplicada de margem, saving, produtividade e risco atribuídos.",Data mart financeiro,Σ benefícios atribuídos e deduplicados,R$,Financeiro,Semestral,pre/post with matched comparator or difference-in-differences,Quase-experimental,eligible_after_evidence_gate,financial rollup; deduplicate by entity + outcome + period + primary lever,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
MKT-01,Alcance qualificado,MVP,Pessoas/empresas únicas dentro do ICP.,Mídia + CRM,usuários únicos elegíveis alcançados,pessoas/empresas,Marketing,Semanal,descriptive trend; no causal value without comparator,Descritivo,unsupported_is_illustrative_only,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
MKT-02,Custo por lead qualificado,MVP,Investimento por lead que atende ICP.,Mídia + CRM,custo de mídia / leads qualificados,R$/lead,Marketing,Semanal,descriptive trend; no causal value without comparator,Descritivo,eligible_after_evidence_gate,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
MKT-03,Conversão lead → oportunidade,MVP,Oportunidades criadas entre leads qualificados.,CRM,oportunidades / leads qualificados,%,Marketing / Vendas,Semanal,descriptive trend; no causal value without comparator,Descritivo,eligible_after_evidence_gate,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
MKT-04,Pipeline influenciado,MVP,Valor ponderado das oportunidades com touchpoint válido.,CRM + touchpoint,Σ valor oportunidade × probabilidade × peso de atribuição,R$,RevOps,Mensal,descriptive trend; no causal value without comparator,Descritivo,eligible_after_evidence_gate,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
MKT-05,Margem incremental de campanha,deferred_future,Margem de negócios incrementais após comparação.,CRM + financeiro,receita incremental × margem × atribuição,R$,Financeiro / Marketing,Mensal,pre/post with matched comparator or difference-in-differences,Quase-experimental,eligible_after_evidence_gate,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
MKT-06,ROAS de margem,deferred_future,Margem atribuída por real de mídia.,Financeiro + mídia,margem atribuída / investimento de mídia,x,Marketing,Mensal,pre/post with matched comparator or difference-in-differences,Quase-experimental,eligible_after_evidence_gate,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
MKT-07,CAC por produto,MVP,Custos de aquisição por novo cliente.,Financeiro + CRM,custos de marketing e vendas / novos clientes,R$/cliente,RevOps,Mensal,descriptive trend; no causal value without comparator,Descritivo,eligible_after_evidence_gate,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
MKT-08,Conteúdo → ação,MVP,Sessões com evento-chave após exposição.,Conteúdo + eventos,usuários com evento-chave / usuários expostos,%,Conteúdo,Semanal,correlation only; validate with comparable cohort before monetization,Correlação,eligible_after_evidence_gate,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
PRO-01,Ativação,MVP,Usuários que completam o evento-chave no prazo.,Eventos,usuários ativados / novos usuários,%,Produto,Diária,descriptive trend; no causal value without comparator,Descritivo,eligible_after_evidence_gate,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
PRO-02,WAU/MAU,MVP,Usuários semanais sobre mensais.,Eventos,WAU / MAU,%,Produto,Semanal,descriptive trend; no causal value without comparator,Descritivo,eligible_after_evidence_gate,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
PRO-03,Adoção por módulo,MVP,Clientes/usuários com evento-chave do módulo.,Eventos + elegibilidade,ativos no módulo / elegíveis,%,Produto,Semanal,descriptive trend; no causal value without comparator,Descritivo,eligible_after_evidence_gate,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
PRO-04,Time-to-value,MVP,Dias do onboarding ao outcome mínimo.,Eventos + outcome,data primeiro valor − data início,dias,CS / Produto,Semanal,correlation only; validate with comparable cohort before monetization,Correlação,eligible_after_evidence_gate,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
PRO-05,Retenção de cohort,MVP,Percentual ativo em D30/D90/D180.,Eventos,ativos no período / cohort inicial,%,Produto,Mensal,descriptive trend; no causal value without comparator,Descritivo,eligible_after_evidence_gate,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
PRO-06,Churn de clientes,MVP,Clientes perdidos sobre base inicial.,CRM + contrato,clientes cancelados / clientes no início,%,CS,Mensal,descriptive trend; no causal value without comparator,Descritivo,eligible_after_evidence_gate,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
PRO-07,Precisão do match,MVP,Qualidade do ranking por decisão real.,Match + decisão,"NDCG@k, precision@k ou aceitos/top k",score,Data Science,Semanal,pre/post with matched comparator or difference-in-differences,Quase-experimental,eligible_after_evidence_gate,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
PRO-08,Uplift da recomendação,deferred_future,Diferença de outcome entre tratamento e comparável.,Experimento / cohort,outcome tratamento − outcome controle,p.p.,Data Science,Mensal,randomized/holdout treatment-control estimate,Experimental,eligible_after_evidence_gate,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
PRO-09,ARR,MVP,Receita recorrente anualizada.,Contrato + financeiro,MRR recorrente × 12,R$,Financeiro,Mensal,descriptive trend; no causal value without comparator,Descritivo,eligible_after_evidence_gate,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
PRO-10,LTV/CAC,deferred_future,Valor de vida do cliente sobre custo de aquisição.,Financeiro + CRM,((ARPA × margem bruta) / churn mensal) / CAC,x,Financeiro,Mensal,descriptive trend; no causal value without comparator,Descritivo,eligible_after_evidence_gate,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
FIN-01,Benefício bruto atribuído,deferred_future,Soma deduplicada dos benefícios após atribuição.,Data mart financeiro,Σ benefícios atribuídos por alavanca,R$,Financeiro,Trimestral,pre/post with matched comparator or difference-in-differences,Quase-experimental,eligible_after_evidence_gate,financial rollup; deduplicate by entity + outcome + period + primary lever,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
FIN-02,Benefício líquido,deferred_future,Benefício bruto menos investimento total.,Financeiro,benefício bruto − investimento total,R$,Financeiro,Trimestral,pre/post with matched comparator or difference-in-differences,Quase-experimental,eligible_after_evidence_gate,financial rollup; deduplicate by entity + outcome + period + primary lever,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
FIN-03,ROI do cliente,deferred_future,Retorno líquido sobre o investimento.,Financeiro,(benefício bruto − investimento) / investimento,%,Financeiro,Trimestral,pre/post with matched comparator or difference-in-differences,Quase-experimental,eligible_after_evidence_gate,financial rollup; deduplicate by entity + outcome + period + primary lever,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
FIN-04,Payback,deferred_future,Meses para benefício acumulado cobrir investimento.,Financeiro,investimento / (benefício anual / 12),meses,Financeiro,Trimestral,pre/post with matched comparator or difference-in-differences,Quase-experimental,eligible_after_evidence_gate,financial rollup; deduplicate by entity + outcome + period + primary lever,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
FIN-05,Margem incremental,deferred_future,Receita incremental multiplicada pela margem de contribuição.,CRM + financeiro,receita incremental × margem × atribuição,R$,Financeiro,Mensal,pre/post with matched comparator or difference-in-differences,Quase-experimental,eligible_after_evidence_gate,financial rollup; deduplicate by entity + outcome + period + primary lever,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
FIN-06,Custo evitado,deferred_future,Diferença ajustada de custo mantendo escopo e qualidade.,Financeiro + operação,custo baseline − custo realizado − custos de mudança,R$,Controladoria,Mensal,pre/post with matched comparator or difference-in-differences,Quase-experimental,eligible_after_evidence_gate,financial rollup; deduplicate by entity + outcome + period + primary lever,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
FIN-07,Risco evitado,deferred_future,Variação de perda esperada atribuída.,GRC + financeiro,(probabilidade × impacto) baseline − residual,R$,Riscos,Trimestral,pre/post with matched comparator or difference-in-differences,Quase-experimental,eligible_after_evidence_gate,financial rollup; deduplicate by entity + outcome + period + primary lever,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
FIN-08,Receita HUB por vertente,MVP,"Receita reconhecida por licenciamento, serviços e marketplace.",ERP + contrato,Σ receita reconhecida por vertente,R$,Financeiro HUB,Mensal,descriptive trend; no causal value without comparator,Descritivo,eligible_after_evidence_gate,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
FIN-09,Margem de contribuição HUB,MVP,Receita menos custos variáveis diretos.,ERP,(receita − custos variáveis) / receita,%,Financeiro HUB,Mensal,descriptive trend; no causal value without comparator,Descritivo,eligible_after_evidence_gate,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
FIN-10,Receita recorrente líquida,MVP,Variação líquida da receita recorrente.,Billing + CRM,MRR inicial + expansão − contração − churn,R$/mês,Financeiro HUB,Mensal,descriptive trend; no causal value without comparator,Descritivo,eligible_after_evidence_gate,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
DAT-01,Completude de dados críticos,MVP,Percentual de valores válidos em campos críticos.,Observabilidade,valores válidos / valores esperados,%,Data Governance,Diária,descriptive trend; no causal value without comparator,Descritivo,unsupported_is_illustrative_only,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
DAT-02,Atualidade dos dados,MVP,Registros dentro do SLA de atualização.,Pipelines,registros no SLA / registros esperados,%,Data Engineering,Diária,descriptive trend; no causal value without comparator,Descritivo,unsupported_is_illustrative_only,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
DAT-03,Taxa de identidade resolvida,MVP,Registros conciliados com chave confiável.,MDM,identidades resolvidas / registros elegíveis,%,Data Engineering,Diária,descriptive trend; no causal value without comparator,Descritivo,eligible_after_evidence_gate,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
DAT-04,Cobertura de score,MVP,Casos elegíveis com score dentro do SLA.,MLOps,casos com score / casos elegíveis,%,Data Science,Diária,descriptive trend; no causal value without comparator,Descritivo,unsupported_is_illustrative_only,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
DAT-05,Acurácia / calibração,MVP,Performance preditiva e calibração por cohort.,Predição + outcome,"métrica adequada ao modelo: AUC, MAE, Brier",score,Data Science,Mensal,pre/post with matched comparator or difference-in-differences,Quase-experimental,eligible_after_evidence_gate,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
DAT-06,Fairness do modelo,MVP,"Diferença de erro, seleção ou calibração entre cohorts protegidos.",Predição + outcome + cohort,máx diferença entre grupos em métrica definida,p.p.,AI Governance,Mensal,pre/post with matched comparator or difference-in-differences,Quase-experimental,eligible_after_evidence_gate,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
DAT-07,Drift de dados / modelo,MVP,Divergência de distribuição e queda de performance.,MLOps,PSI / divergência / delta de performance,índice,Data Science,Semanal,descriptive trend; no causal value without comparator,Descritivo,eligible_after_evidence_gate,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
DAT-08,Índice de confiança do impacto,deferred_future,"Score de qualidade de baseline, comparação, amostra e atribuição.",Metadados de análise,"média ponderada(baseline, controle, amostra, rastreabilidade)",score 0–100,Inteligência / Financeiro,Trimestral,pre/post with matched comparator or difference-in-differences,Quase-experimental,eligible_after_evidence_gate,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
