record_type,source_sheet,source_id_or_name,canonical_key,internal_mapping,external_mapping,identity_and_idempotency,schema_and_occurrence,ingestion_and_provenance,auth_sla_retry_quarantine_reconciliation,governance_traceability,decision,status,correction_issue_id
event,09_Eventos_Produto,data_quality_incident,event_id,dq_incident_id + dataset,GRC.ticket_id,event_id required; dedupe rule/run,rule/severity/owner/records; occurred_at UTC,DQ monitor + run_id,OAuth2; <5m; retry; quarantine + ticket reconcile,owner|ticket_id,unchanged,verified,
event,09_Eventos_Produto,model_prediction,event_id,model_version_id + object_id,MLOps.model_version_id,event_id required; unique object/model/input_hash,version/input_hash/score/explanation; occurred_at UTC,MLOps log + features_hash,mTLS; <2s; retry; fallback + reconcile,model_version_id|features_hash,unchanged,verified,
integration,10_Integracoes,HRIS / folha,person_external_id + company_id,dim_person.person_id + relationship_id,HRIS.person_external_id + company_id,stable external key; upsert idempotent,relationship/status/cost schema; occurrence daily,source_system + extract_at + checksum,OAuth2/SFTP; D+1; retry; quarantine + reconciliation,consent_id|owner,unchanged,verified,
integration,10_Integracoes,ATS,opportunity_id / person_id,fact_opportunity.opportunity_id + person_id,ATS.opportunity_id + person_external_id,stable keys; webhook idempotency key,vacancy/candidate/stage schema; real-time,ATS event_id + received_at,OAuth2; 15m; retry idempotent; DLQ + reconcile,consent_id|owner,unchanged,verified,
integration,10_Integracoes,LMS,person_id + journey_id,fact_participation.participation_id,LMS.person_id + journey_id,stable composite; xAPI event idempotent,journey/enrollment/completion schema; real-time,xAPI event_id + ingested_at,OAuth2; 1h; retry; DLQ + reconcile,consent_id|version,unchanged,verified,
integration,10_Integracoes,CRM HUB,company_id / opportunity_id,fact_contract.contract_id + opportunity_id,CRM.company_id + opportunity_id,stable business keys; webhook idempotency,company/opportunity/contract/touchpoint schema; real-time,CRM event_id + source_system,OAuth2; 15m; retry + reconciliation,owner|touchpoint_id,unchanged,verified,
integration,10_Integracoes,ERP / financeiro HUB,contract_id / transaction_id,fact_transaction.transaction_id,ERP.contract_id + transaction_id,stable financial keys; upsert idempotent,amount/type/competence schema; daily,ERP batch_id + reconciliation_id,OAuth2/SFTP; D+1; retry + accounting reconciliation,contract_id|owner,unchanged,verified,
integration,10_Integracoes,ERP / financeiro cliente,company_id + metric_id + period,fact_business_metric.metric_id,client ERP company_id + metric_id + period,composite period key; batch idempotency,KPI/cost/saving/margin schema; monthly,share_id + received_at + definition_version,private link; D+5; retry; quarantine + controller approval,owner|legal_basis,unchanged,verified,
integration,10_Integracoes,Compras / SRM,supplier_id / category_id,dim_supplier.supplier_id,SRM.supplier_id + category_id,stable supplier/category keys; batch idempotency,supplier/category/homologation schema; daily,extract_id + source_system,OAuth2/SFTP; D+1; retry; category quarantine + reconcile,owner|homologation,unchanged,verified,
integration,10_Integracoes,GRC / riscos,risk_id,dim_risk.risk_id,GRC.risk_id,stable risk key; upsert idempotent,risk/probability/impact/control schema; monthly,extract_id + reviewed_at,OAuth2/SFTP; D+3; retry; expert review + reconcile,owner|control_id,unchanged,verified,
integration,10_Integracoes,BI cliente,metric_id + period + cohort,fact_business_metric.metric_id,BI.metric_id + period + cohort,composite key; batch idempotency,metric/value/baseline/cohort schema; monthly,share_id + definition_version,private link; D+5; retry; semantic validation + reconcile,owner|definition_version,unchanged,verified,
integration,10_Integracoes,Plataforma HUB,event_id / person_id,fact_event.event_id,SDK.event_id + person_external_id,event_id idempotency required,event catalog/object/properties schema; real-time,occurred_at + ingested_at + source,token/mTLS; <5m; retry + replay; quarantine,consent_id|source_system,unchanged,verified,
integration,10_Integracoes,Motor de inteligência,model_version + object_id,fact_match.model_version_id + match_id,MLOps.model_version_id + object_id,model/object composite idempotent,features/score/explanation/version schema; real-time,request_id + input_hash + model_version,mTLS; <2s; retry; rule fallback + reconcile,model_version_id|features_hash,unchanged,verified,
integration,10_Integracoes,CMP / consentimento,person_id + purpose,dim_consent.consent_id,CMP.person_id + purpose,consent/version idempotency,purpose/status/version/revocation schema; real-time,consent_event_id + changed_at,OAuth2; <5m; retry; preventive block + reconcile,legal_basis|purpose|version,unchanged,verified,
integration,10_Integracoes,Mídia / analytics,campaign_id / UTM,dim_content.content_id,Media.campaign_id + UTM,UTM/session deduplication,campaign/cost/impression/click schema; daily,provider_event_id + extract_at,OAuth2; D+1; retry; cross-channel dedupe + reconcile,consent_id|attribution_model,unchanged,verified,
integration,10_Integracoes,Entidade / associados,entity_id + company_id,dim_entity.entity_id + association_id,Entity.entity_id + company_id,stable association key; upsert idempotent,member/link/tier/renewal schema; daily,extract_id + valid_from/to,OAuth2/SFTP; D+1; retry + validity reconciliation,owner|contract_id,unchanged,verified,
integration,10_Integracoes,Data warehouse / lakehouse,surrogate keys + business keys,all dimensions/facts,source business keys + warehouse surrogate,stable business key and load_id idempotency,dimensions/facts/marts schema; hourly/daily,load_id + source_system + checksum,IAM/private link; 1h; retry; rollback + observability,classification|lineage,unchanged,verified,
