INVENTÁRIO DE PÁGINAS / TELAS,,,,,,,,,
ID,Código,Frente,Página / tela,Canal,Fase,Complexidade,Compartilhável?,Dependência,Observação
81,EVT,Eventos,Pesquisa de público / mercado,Web/Mobile,MVP,Alta,Não,CORE,Insights
82,EVT,Eventos,Acessibilidade,Web,MVP,Média,Não,CORE,Plano
83,EVT,Eventos,Segurança / combate ao assédio,Web/Mobile,MVP,Alta,Não,CORE,Protocolos
84,EVT,Eventos,Operação / checklists,Web/Mobile,Fase 2,Alta,Não,CORE,Execução
85,EVT,Eventos,Indicadores em tempo real,Web,Fase 2,Alta,Parcial,CORE,Operação
86,EVT,Eventos,ROI / impacto financeiro,Web,MVP,Alta,Não,CORE,Retorno
87,EVT,Eventos,Relatório pós-evento,Web,MVP,Média,Não,CORE,Resultados
88,COM,Comunidades / Eu & Eu / Cultura,Meu perfil,Web/Mobile,MVP,Baixa,Não,CORE,Preferências
89,COM,Comunidades / Eu & Eu / Cultura,Objetivos,Web/Mobile,MVP,Média,Não,CORE,Metas
90,COM,Comunidades / Eu & Eu / Cultura,Plano de ação,Web/Mobile,MVP,Média,Não,CORE,Passos
91,COM,Comunidades / Eu & Eu / Cultura,Preparação / conteúdos,Web/Mobile,MVP,Média,Não,CORE,Trilhas
92,COM,Comunidades / Eu & Eu / Cultura,Mentoria,Web/Mobile,Fase 2,Média,Não,CORE,Conexões
93,COM,Comunidades / Eu & Eu / Cultura,Saúde & cuidado,Web/Mobile,Fase 2,Alta,Não,CORE,Recursos
94,COM,Comunidades / Eu & Eu / Cultura,Eventos da comunidade,Web/Mobile,MVP,Média,Não,CORE,Agenda
95,COM,Comunidades / Eu & Eu / Cultura,Conexões com empresas,Web/Mobile,MVP,Alta,Não,CORE,Oportunidades
96,COM,Comunidades / Eu & Eu / Cultura,Acadêmico,Web/Mobile,Fase 2,Média,Não,CORE,Formação
