ESTIMATIVA DE BUILD POR TELA — 96 TELAS,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Horas são calculadas a partir da complexidade, disciplina e drivers específicos. A coluna 'Componente compartilhado' evita duplicar custo quando a mesma capacidade é reutilizada entre verticais.",,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Código,Frente,Tela,Fase,Complexidade,Componente compartilhado,Reuso %,Driver IA,Driver Dados,Driver Segurança,Driver Mobile,Mult. complex.,UX h,Front h,Back h,Dados h,IA h,QA h,DevOps h,Segurança h,Horas brutas,Horas líquidas,Custo build R$,Gestão/arquitetura R$,Contingência R$,CAPEX tela R$,Observação
11,CORE,Core / Plataforma,Administração,MVP,Alta,CORE compartilhado,0.8,Não,Não,Sim,Não,1.55,34.1,74.4,96.255,15.345000000000002,2.3249999999999997,31,12.4,16.740000000000002,282.565,56.512999999999984,12838.339999999997,1540.6007999999995,2156.8411199999996,16535.781919999998,Configurações
12,CORE,Core / Plataforma,Auditoria e logs,MVP,Alta,CORE compartilhado,0.8,Não,Não,Sim,Não,1.55,34.1,74.4,96.255,15.345000000000002,2.3249999999999997,31,12.4,16.740000000000002,282.565,56.512999999999984,12838.339999999997,1540.6007999999995,2156.8411199999996,16535.781919999998,Rastreabilidade
13,ED,Estratégia & Dados,Visão executiva,MVP,Alta,,0,Não,Sim,Não,Não,1.55,34.1,74.4,83.7,44.64000000000001,2.3249999999999997,31,14.26,6.51,290.93499999999995,290.93499999999995,66005.2,7920.624,11088.873599999999,85014.69759999998,KPIs pessoas x negócio
14,ED,Estratégia & Dados,Conectores de dados,MVP,Alta,,0,Não,Sim,Não,Não,1.55,34.1,74.4,83.7,44.64000000000001,2.3249999999999997,31,14.26,6.51,290.93499999999995,290.93499999999995,66005.2,7920.624,11088.873599999999,85014.69759999998,Dados existentes
15,ED,Estratégia & Dados,Mapeamento de indicadores,MVP,Alta,,0,Não,Sim,Não,Não,1.55,34.1,74.4,83.7,44.64000000000001,2.3249999999999997,31,14.26,6.51,290.93499999999995,290.93499999999995,66005.2,7920.624,11088.873599999999,85014.69759999998,Dicionário
16,ED,Estratégia & Dados,Diagnóstico,MVP,Alta,,0,Não,Sim,Não,Não,1.55,34.1,74.4,83.7,44.64000000000001,2.3249999999999997,31,14.26,6.51,290.93499999999995,290.93499999999995,66005.2,7920.624,11088.873599999999,85014.69759999998,Contexto
17,ED,Estratégia & Dados,Análises e correlações,MVP,Muito alta,,0,Sim,Sim,Não,Não,2.2,48.400000000000006,105.60000000000001,142.56,63.36000000000001,39.6,50.599999999999994,20.24,9.24,479.6,479.6,112125.20000000001,13455.024000000001,18837.033600000002,144417.2576,Padrões
18,ED,Estratégia & Dados,Prioridades,MVP,Alta,,0,Não,Sim,Não,Não,1.55,34.1,74.4,83.7,44.64000000000001,2.3249999999999997,31,14.26,6.51,290.93499999999995,290.93499999999995,66005.2,7920.624,11088.873599999999,85014.69759999998,Riscos/oportunidades
19,ED,Estratégia & Dados,Planos de ação,MVP,Média,,0,Não,Sim,Não,Não,1,22,48,54,28.8,1.5,20,9.2,4.199999999999999,187.7,187.7,42584,5110.08,7154.112,54848.192,Ações
20,ED,Estratégia & Dados,Cenários / simulações,Fase 2,Muito alta,,0,Sim,Sim,Não,Não,2.2,48.400000000000006,105.60000000000001,142.56,63.36000000000001,39.6,50.599999999999994,20.24,9.24,479.6,431.64000000000004,100912.68000000001,12109.5216,16953.33024,129975.53184,Projeções
21,ED,Estratégia & Dados,ROI / valor capturado,MVP,Alta,,0,Não,Sim,Não,Não,1.55,34.1,74.4,83.7,44.64000000000001,2.3249999999999997,31,14.26,6.51,290.93499999999995,290.93499999999995,66005.2,7920.624,11088.873599999999,85014.69759999998,Financeiro
22,ED,Estratégia & Dados,Relatórios executivos,MVP,Média,,0,Não,Sim,Não,Não,1,22,48,54,28.8,1.5,20,9.2,4.199999999999999,187.7,187.7,42584,5110.08,7154.112,54848.192,Exportação
23,ED,Estratégia & Dados,Alertas estratégicos,Fase 2,Alta,,0,Não,Sim,Não,Não,1.55,34.1,74.4,83.7,44.64000000000001,2.3249999999999997,31,14.26,6.51,290.93499999999995,261.84149999999994,59404.68,7128.5616,9979.986239999998,76513.22783999999,Sinais
24,COL,Colaboradores / Meu Time,Meu time,MVP,Alta,,0,Não,Não,Não,Não,1.55,34.1,74.4,83.7,15.345000000000002,2.3249999999999997,31,12.4,6.51,259.78,259.78,57904.899999999994,6948.587999999999,9728.023199999998,74581.5112,Mapa
25,COL,Colaboradores / Meu Time,Perfil do colaborador,MVP,Média,Perfil do colaborador,0.45,Não,Não,Não,Não,1,22,48,54,9.9,1.5,20,8,4.199999999999999,167.6,92.18,20546.9,2465.628,3451.8792000000003,26464.4072,360
26,COL,Colaboradores / Meu Time,Objetivos e combinados,MVP,Média,,0,Não,Não,Não,Não,1,22,48,54,9.9,1.5,20,8,4.199999999999999,167.6,167.6,37358,4482.96,6276.143999999999,48117.104,Metas
27,COL,Colaboradores / Meu Time,Competências,MVP,Média,,0,Não,Não,Não,Não,1,22,48,54,9.9,1.5,20,8,4.199999999999999,167.6,167.6,37358,4482.96,6276.143999999999,48117.104,Skills
28,COL,Colaboradores / Meu Time,Feedbacks / check-ins,MVP,Média,,0,Não,Não,Não,Sim,1,22,60,54,9.9,1.5,22,8,4.199999999999999,181.6,181.6,40338,4840.5599999999995,6776.784,51955.344,Ciclo
29,COL,Colaboradores / Meu Time,Plano de desenvolvimento,MVP,Média,Plano de desenvolvimento,0.45,Não,Não,Não,Não,1,22,48,54,9.9,1.5,20,8,4.199999999999999,167.6,92.18,20546.9,2465.628,3451.8792000000003,26464.4072,PDI
30,COL,Colaboradores / Meu Time,Mentorias,Fase 2,Média,,0,Não,Não,Não,Não,1,22,48,54,9.9,1.5,20,8,4.199999999999999,167.6,150.84,33622.200000000004,4034.664,5648.5296,43305.3936,Matching
31,COL,Colaboradores / Meu Time,Aprendizagem / trilhas,Fase 2,Média,,0,Não,Não,Não,Não,1,22,48,54,9.9,1.5,20,8,4.199999999999999,167.6,150.84,33622.200000000004,4034.664,5648.5296,43305.3936,Conteúdo
32,COL,Colaboradores / Meu Time,Talentos internos / mobilidade,Fase 2,Alta,,0,Não,Não,Não,Não,1.55,34.1,74.4,83.7,15.345000000000002,2.3249999999999997,31,12.4,6.51,259.78,233.802,52114.409999999996,6253.7292,8755.220879999999,67123.36008,Oportunidades
33,COL,Colaboradores / Meu Time,Sucessão,Fase 2,Alta,,0,Não,Não,Não,Não,1.55,34.1,74.4,83.7,15.345000000000002,2.3249999999999997,31,12.4,6.51,259.78,233.802,52114.409999999996,6253.7292,8755.220879999999,67123.36008,Prontidão
34,COL,Colaboradores / Meu Time,Saúde do time / alertas,MVP,Alta,,0,Não,Sim,Não,Não,1.55,34.1,74.4,83.7,44.64000000000001,2.3249999999999997,31,14.26,6.51,290.93499999999995,290.93499999999995,66005.2,7920.624,11088.873599999999,85014.69759999998,Risco
35,CAN,Candidatos & Carreira,Perfil do candidato,MVP,Média,Perfil do candidato,0.45,Não,Não,Não,Sim,1,22,60,54,9.9,1.5,22,8,4.199999999999999,181.6,99.88000000000001,22185.9,2662.308,3727.2312,28575.4392,Perfil
36,CAN,Candidatos & Carreira,Currículo / portfólio,MVP,Média,,0,Não,Não,Não,Sim,1,22,60,54,9.9,1.5,22,8,4.199999999999999,181.6,181.6,40338,4840.5599999999995,6776.784,51955.344,Evidências
37,CAN,Candidatos & Carreira,Competências e interesses,MVP,Média,,0,Não,Não,Não,Sim,1,22,60,54,9.9,1.5,22,8,4.199999999999999,181.6,181.6,40338,4840.5599999999995,6776.784,51955.344,Skills
38,CAN,Candidatos & Carreira,Oportunidades recomendadas,MVP,Alta,,0,Sim,Não,Não,Sim,1.55,34.1,93,100.44,15.345000000000002,27.900000000000002,38.75,12.4,6.51,328.44499999999994,328.44499999999994,75516,9061.92,12686.688,97264.608,Feed
39,CAN,Candidatos & Carreira,Detalhe da oportunidade,MVP,Baixa,,0,Não,Não,Não,Sim,0.65,14.3,39,35.1,6.435000000000001,0.975,14.3,5.2,2.73,118.04,118.04,26219.699999999997,3146.3639999999996,4404.9096,33770.9736,Vaga/projeto
40,CAN,Candidatos & Carreira,Candidatura,MVP,Média,,0,Não,Não,Não,Sim,1,22,60,54,9.9,1.5,22,8,4.199999999999999,181.6,181.6,40338,4840.5599999999995,6776.784,51955.344,Aplicação
41,CAN,Candidatos & Carreira,Match candidato-vaga,MVP,Muito alta,,0,Sim,Não,Não,Não,2.2,48.400000000000006,105.60000000000001,142.56,21.78,39.6,50.599999999999994,17.6,9.24,435.3800000000001,435.3800000000001,100628.00000000001,12075.36,16905.504,129608.86400000002,Aderência
42,CAN,Candidatos & Carreira,Minha jornada,MVP,Média,,0,Não,Não,Não,Sim,1,22,60,54,9.9,1.5,22,8,4.199999999999999,181.6,181.6,40338,4840.5599999999995,6776.784,51955.344,Progresso
43,CAN,Candidatos & Carreira,Capacitação recomendada,Fase 2,Alta,,0,Sim,Não,Não,Sim,1.55,34.1,93,100.44,15.345000000000002,27.900000000000002,38.75,12.4,6.51,328.44499999999994,295.60049999999995,67964.40000000001,8155.728000000001,11418.0192,87538.1472,Gap->trilha
44,CAN,Candidatos & Carreira,Mentoria / preparação,Fase 2,Média,,0,Não,Não,Não,Sim,1,22,60,54,9.9,1.5,22,8,4.199999999999999,181.6,163.44,36304.200000000004,4356.504000000001,6099.105600000001,46759.80960000001,Carreira
45,CAN,Candidatos & Carreira,Feedbacks do processo,Fase 2,Média,,0,Não,Não,Não,Sim,1,22,60,54,9.9,1.5,22,8,4.199999999999999,181.6,163.44,36304.200000000004,4356.504000000001,6099.105600000001,46759.80960000001,Retorno
46,CAN,Candidatos & Carreira,Painel empresa - talentos,MVP,Alta,,0,Não,Não,Não,Não,1.55,34.1,74.4,83.7,15.345000000000002,2.3249999999999997,31,12.4,6.51,259.78,259.78,57904.899999999994,6948.587999999999,9728.023199999998,74581.5112,Shortlist
47,CAN,Candidatos & Carreira,Inteligência de vagas,Fase 2,Muito alta,,0,Sim,Não,Não,Não,2.2,48.400000000000006,105.60000000000001,142.56,21.78,39.6,50.599999999999994,17.6,9.24,435.3800000000001,391.8420000000001,90565.20000000001,10867.824,15214.9536,116647.97760000001,Requisitos por evidência
48,FOR,Fornecedores & Negócios,Perfil do fornecedor,MVP,Média,Perfil do fornecedor,0.45,Não,Não,Não,Não,1,22,48,54,9.9,1.5,20,8,4.199999999999999,167.6,92.18,20546.9,2465.628,3451.8792000000003,26464.4072,Capacidades
49,FOR,Fornecedores & Negócios,Documentos e compliance,MVP,Alta,,0,Não,Não,Sim,Não,1.55,34.1,74.4,96.255,15.345000000000002,2.3249999999999997,31,12.4,16.740000000000002,282.565,282.565,64191.7,7703.003999999999,10784.2056,82678.9096,Certificações
50,FOR,Fornecedores & Negócios,Maturidade,MVP,Alta,,0,Não,Não,Não,Não,1.55,34.1,74.4,83.7,15.345000000000002,2.3249999999999997,31,12.4,6.51,259.78,259.78,57904.899999999994,6948.587999999999,9728.023199999998,74581.5112,Diagnóstico
51,FOR,Fornecedores & Negócios,Plano de desenvolvimento,MVP,Alta,Plano de desenvolvimento,0.45,Não,Não,Não,Não,1.55,34.1,74.4,83.7,15.345000000000002,2.3249999999999997,31,12.4,6.51,259.78,142.879,31847.695,3821.7234,5350.41276,41019.83116,Gaps
52,FOR,Fornecedores & Negócios,Trilhas / apoio,Fase 2,Média,,0,Não,Não,Não,Não,1,22,48,54,9.9,1.5,20,8,4.199999999999999,167.6,150.84,33622.200000000004,4034.664,5648.5296,43305.3936,Cursos/crédito
53,FOR,Fornecedores & Negócios,Oportunidades / demandas,MVP,Média,,0,Não,Não,Não,Não,1,22,48,54,9.9,1.5,20,8,4.199999999999999,167.6,167.6,37358,4482.96,6276.143999999999,48117.104,Compras
54,FOR,Fornecedores & Negócios,Detalhe da demanda,MVP,Baixa,,0,Não,Não,Não,Não,0.65,14.3,31.200000000000003,35.1,6.435000000000001,0.975,13,5.2,2.73,108.94,108.94,24282.699999999997,2913.9239999999995,4079.4935999999993,31276.117599999994,Critérios
55,FOR,Fornecedores & Negócios,Match fornecedor-demanda,MVP,Muito alta,,0,Sim,Não,Não,Não,2.2,48.400000000000006,105.60000000000001,142.56,21.78,39.6,50.599999999999994,17.6,9.24,435.3800000000001,435.3800000000001,100628.00000000001,12075.36,16905.504,129608.86400000002,Aderência
56,FOR,Fornecedores & Negócios,Painel empresa compradora,MVP,Alta,,0,Não,Não,Não,Não,1.55,34.1,74.4,83.7,15.345000000000002,2.3249999999999997,31,12.4,6.51,259.78,259.78,57904.899999999994,6948.587999999999,9728.023199999998,74581.5112,Criar demanda
57,FOR,Fornecedores & Negócios,Reuniões / conexões,MVP,Média,,0,Não,Não,Não,Não,1,22,48,54,9.9,1.5,20,8,4.199999999999999,167.6,167.6,37358,4482.96,6276.143999999999,48117.104,Agenda
58,FOR,Fornecedores & Negócios,Propostas,Fase 2,Alta,,0,Não,Não,Não,Não,1.55,34.1,74.4,83.7,15.345000000000002,2.3249999999999997,31,12.4,6.51,259.78,233.802,52114.409999999996,6253.7292,8755.220879999999,67123.36008,Pipeline
59,FOR,Fornecedores & Negócios,Negociações,Fase 2,Alta,,0,Não,Não,Não,Não,1.55,34.1,74.4,83.7,15.345000000000002,2.3249999999999997,31,12.4,6.51,259.78,233.802,52114.409999999996,6253.7292,8755.220879999999,67123.36008,Pipeline
60,FOR,Fornecedores & Negócios,Contratos / negócios,Fase 2,Alta,,0,Não,Não,Não,Não,1.55,34.1,74.4,83.7,15.345000000000002,2.3249999999999997,31,12.4,6.51,259.78,233.802,52114.409999999996,6253.7292,8755.220879999999,67123.36008,Conversão
61,FOR,Fornecedores & Negócios,Indicadores do ecossistema,MVP,Alta,Indicadores do ecossistema,0.45,Não,Sim,Não,Não,1.55,34.1,74.4,83.7,44.64000000000001,2.3249999999999997,31,14.26,6.51,290.93499999999995,160.01424999999998,36302.86,4356.3432,6098.880480000001,46758.08368,Impacto
62,ACA,Acadêmico / Universidades,Portal da universidade,MVP,Média,,0,Não,Não,Não,Não,1,22,48,54,9.9,1.5,20,8,4.199999999999999,167.6,167.6,37358,4482.96,6276.143999999999,48117.104,Institucional
63,ACA,Acadêmico / Universidades,Perfil acadêmico do aluno,MVP,Média,Perfil acadêmico do aluno,0.45,Não,Não,Não,Sim,1,22,60,54,9.9,1.5,22,8,4.199999999999999,181.6,99.88000000000001,22185.9,2662.308,3727.2312,28575.4392,Formação
64,ACA,Acadêmico / Universidades,Perfil pesquisador/docente,Fase 2,Média,Perfil pesquisador/docente,0.45,Não,Sim,Não,Não,1,22,48,54,28.8,1.5,20,9.2,4.199999999999999,187.7,92.9115,21079.08,2529.4896000000003,3541.28544,27149.855040000002,Linhas
65,ACA,Acadêmico / Universidades,Oportunidades acadêmicas,MVP,Média,,0,Não,Não,Não,Sim,1,22,60,54,9.9,1.5,22,8,4.199999999999999,181.6,181.6,40338,4840.5599999999995,6776.784,51955.344,Bolsas/projetos
66,ACA,Acadêmico / Universidades,Projetos empresa-universidade,MVP,Alta,,0,Não,Não,Não,Não,1.55,34.1,74.4,83.7,15.345000000000002,2.3249999999999997,31,12.4,6.51,259.78,259.78,57904.899999999994,6948.587999999999,9728.023199999998,74581.5112,Desafios
67,ACA,Acadêmico / Universidades,Match aluno-projeto,MVP,Alta,,0,Sim,Não,Não,Não,1.55,34.1,74.4,100.44,15.345000000000002,27.900000000000002,35.65,12.4,6.51,306.74499999999995,306.74499999999995,70897,8507.64,11910.696,91315.336,Aderência
68,ACA,Acadêmico / Universidades,Match pesquisador-empresa,Fase 2,Muito alta,,0,Sim,Sim,Não,Não,2.2,48.400000000000006,105.60000000000001,142.56,63.36000000000001,39.6,50.599999999999994,20.24,9.24,479.6,431.64000000000004,100912.68000000001,12109.5216,16953.33024,129975.53184,Pesquisa aplicada
69,ACA,Acadêmico / Universidades,Estágios e carreira,MVP,Alta,,0,Não,Não,Não,Sim,1.55,34.1,93,83.7,15.345000000000002,2.3249999999999997,34.1,12.4,6.51,281.47999999999996,281.47999999999996,62523.899999999994,7502.867999999999,10504.0152,80530.78319999999,Integra CAN
70,ACA,Acadêmico / Universidades,Bolsas corporativas,MVP,Média,,0,Não,Não,Não,Não,1,22,48,54,9.9,1.5,20,8,4.199999999999999,167.6,167.6,37358,4482.96,6276.143999999999,48117.104,Empresa->aluno
71,ACA,Acadêmico / Universidades,Formação / trilhas,Fase 2,Média,,0,Não,Não,Não,Sim,1,22,60,54,9.9,1.5,22,8,4.199999999999999,181.6,163.44,36304.200000000004,4356.504000000001,6099.105600000001,46759.80960000001,Desenvolvimento
72,ACA,Acadêmico / Universidades,Acompanhamento de projeto,Fase 2,Alta,,0,Não,Não,Não,Não,1.55,34.1,74.4,83.7,15.345000000000002,2.3249999999999997,31,12.4,6.51,259.78,233.802,52114.409999999996,6253.7292,8755.220879999999,67123.36008,Entregas
73,ACA,Acadêmico / Universidades,Indicadores universidade-mercado,MVP,Alta,Indicadores universidade-mercado,0.45,Não,Sim,Não,Não,1.55,34.1,74.4,83.7,44.64000000000001,2.3249999999999997,31,14.26,6.51,290.93499999999995,160.01424999999998,36302.86,4356.3432,6098.880480000001,46758.08368,Impacto
74,EVT,Eventos,Visão geral do evento,MVP,Alta,,0,Não,Não,Não,Não,1.55,34.1,74.4,83.7,15.345000000000002,2.3249999999999997,31,12.4,6.51,259.78,259.78,57904.899999999994,6948.587999999999,9728.023199999998,74581.5112,Dashboard
75,EVT,Eventos,Planejamento / metas,MVP,Média,,0,Não,Não,Não,Não,1,22,48,54,9.9,1.5,20,8,4.199999999999999,167.6,167.6,37358,4482.96,6276.143999999999,48117.104,KPIs
76,EVT,Eventos,Talentos / equipes,MVP,Alta,,0,Não,Não,Não,Não,1.55,34.1,74.4,83.7,15.345000000000002,2.3249999999999997,31,12.4,6.51,259.78,259.78,57904.899999999994,6948.587999999999,9728.023199999998,74581.5112,CAN
77,EVT,Eventos,Fornecedores do evento,MVP,Alta,,0,Não,Não,Não,Não,1.55,34.1,74.4,83.7,15.345000000000002,2.3249999999999997,31,12.4,6.51,259.78,259.78,57904.899999999994,6948.587999999999,9728.023199999998,74581.5112,FOR
78,EVT,Eventos,Demandas e contratações,MVP,Alta,,0,Não,Não,Não,Não,1.55,34.1,74.4,83.7,15.345000000000002,2.3249999999999997,31,12.4,6.51,259.78,259.78,57904.899999999994,6948.587999999999,9728.023199999998,74581.5112,Compras
79,EVT,Eventos,Patrocínios / marcas,Fase 2,Alta,,0,Não,Não,Não,Não,1.55,34.1,74.4,83.7,15.345000000000002,2.3249999999999997,31,12.4,6.51,259.78,233.802,52114.409999999996,6253.7292,8755.220879999999,67123.36008,Retorno
80,EVT,Eventos,Artistas / criadores,Fase 2,Média,,0,Não,Não,Não,Não,1,22,48,54,9.9,1.5,20,8,4.199999999999999,167.6,150.84,33622.200000000004,4034.664,5648.5296,43305.3936,Conexões
81,EVT,Eventos,Pesquisa de público / mercado,MVP,Alta,,0,Não,Sim,Não,Sim,1.55,34.1,93,83.7,44.64000000000001,2.3249999999999997,34.1,14.26,6.51,312.63500000000005,312.63500000000005,70624.2,8474.903999999999,11864.8656,90963.9696,Insights
82,EVT,Eventos,Acessibilidade,MVP,Média,,0,Não,Não,Não,Não,1,22,48,54,9.9,1.5,20,8,4.199999999999999,167.6,167.6,37358,4482.96,6276.143999999999,48117.104,Plano
83,EVT,Eventos,Segurança / combate ao assédio,MVP,Alta,,0,Não,Não,Sim,Sim,1.55,34.1,93,96.255,15.345000000000002,2.3249999999999997,34.1,12.4,16.740000000000002,304.265,304.265,68810.7,8257.284,11560.1976,88628.1816,Protocolos
84,EVT,Eventos,Operação / checklists,Fase 2,Alta,,0,Não,Não,Não,Sim,1.55,34.1,93,83.7,15.345000000000002,2.3249999999999997,34.1,12.4,6.51,281.47999999999996,253.33199999999997,56271.509999999995,6752.581199999999,9453.613679999999,72477.70487999999,Execução
85,EVT,Eventos,Indicadores em tempo real,Fase 2,Alta,Indicadores em tempo real,0.45,Não,Sim,Não,Não,1.55,34.1,74.4,83.7,44.64000000000001,2.3249999999999997,31,14.26,6.51,290.93499999999995,144.012825,32672.574,3920.70888,5488.992432,42082.275312,Operação
86,EVT,Eventos,ROI / impacto financeiro,MVP,Alta,,0,Não,Sim,Não,Não,1.55,34.1,74.4,83.7,44.64000000000001,2.3249999999999997,31,14.26,6.51,290.93499999999995,290.93499999999995,66005.2,7920.624,11088.873599999999,85014.69759999998,Retorno
87,EVT,Eventos,Relatório pós-evento,MVP,Média,,0,Não,Sim,Não,Não,1,22,48,54,28.8,1.5,20,9.2,4.199999999999999,187.7,187.7,42584,5110.08,7154.112,54848.192,Resultados
88,COM,Comunidades / Eu & Eu / Cultura,Meu perfil,MVP,Baixa,,0,Não,Não,Não,Sim,0.65,14.3,39,35.1,6.435000000000001,0.975,14.3,5.2,2.73,118.04,118.04,26219.699999999997,3146.3639999999996,4404.9096,33770.9736,Preferências
89,COM,Comunidades / Eu & Eu / Cultura,Objetivos,MVP,Média,,0,Não,Não,Não,Sim,1,22,60,54,9.9,1.5,22,8,4.199999999999999,181.6,181.6,40338,4840.5599999999995,6776.784,51955.344,Metas
90,COM,Comunidades / Eu & Eu / Cultura,Plano de ação,MVP,Média,,0,Não,Não,Não,Sim,1,22,60,54,9.9,1.5,22,8,4.199999999999999,181.6,181.6,40338,4840.5599999999995,6776.784,51955.344,Passos
91,COM,Comunidades / Eu & Eu / Cultura,Preparação / conteúdos,MVP,Média,,0,Não,Não,Não,Sim,1,22,60,54,9.9,1.5,22,8,4.199999999999999,181.6,181.6,40338,4840.5599999999995,6776.784,51955.344,Trilhas
92,COM,Comunidades / Eu & Eu / Cultura,Mentoria,Fase 2,Média,,0,Não,Não,Não,Sim,1,22,60,54,9.9,1.5,22,8,4.199999999999999,181.6,163.44,36304.200000000004,4356.504000000001,6099.105600000001,46759.80960000001,Conexões
93,COM,Comunidades / Eu & Eu / Cultura,Saúde & cuidado,Fase 2,Alta,,0,Não,Sim,Não,Sim,1.55,34.1,93,83.7,44.64000000000001,2.3249999999999997,34.1,14.26,6.51,312.63500000000005,281.3715,63561.78,7627.4136,10678.37904,81867.57264,Recursos
94,COM,Comunidades / Eu & Eu / Cultura,Eventos da comunidade,MVP,Média,,0,Não,Não,Não,Sim,1,22,60,54,9.9,1.5,22,8,4.199999999999999,181.6,181.6,40338,4840.5599999999995,6776.784,51955.344,Agenda
95,COM,Comunidades / Eu & Eu / Cultura,Conexões com empresas,MVP,Alta,,0,Não,Não,Não,Sim,1.55,34.1,93,83.7,15.345000000000002,2.3249999999999997,34.1,12.4,6.51,281.47999999999996,281.47999999999996,62523.899999999994,7502.867999999999,10504.0152,80530.78319999999,Oportunidades
96,COM,Comunidades / Eu & Eu / Cultura,Acadêmico,Fase 2,Média,,0,Não,Não,Não,Sim,1,22,60,54,9.9,1.5,22,8,4.199999999999999,181.6,163.44,36304.200000000004,4356.504000000001,6099.105600000001,46759.80960000001,Formação
