Catálogo mestre de indicadores
,
"Cada indicador inclui pergunta, fórmula, fonte e como pode chegar a valor financeiro."
,
ID,Vertente,Visão,Camada,Indicador,Pergunta de gestão,Definição,Fórmula,Unidade,Polaridade,Frequência,Fonte mínima,Dimensões / cortes,Owner,Tipo,Alavanca financeira,Conversão financeira,Nível de evidência,Prioridade,Fase
RH-08,Empresas / RH,RH,Resultado,Absenteísmo evitado,A ação reduz dias perdidos?,Diferença de dias de ausência ajustada.,dias baseline − dias após,dias,Maior é melhor,Mensal,HRIS / saúde,"unidade, cohort, causa",RH,Lagging,Produtividade / custo,dias evitados × custo diário × atribuição,Quase-experimental,Média,M2
RH-09,Empresas / RH,Executiva,Impacto,Ganho de produtividade,Qual valor do tempo ou output adicional?,Valor monetizado da melhoria atribuída.,pessoas × custo anual × % ganho × atribuição,R$,Maior é melhor,Trimestral,Performance + financeiro,"unidade, programa, cohort",Financeiro,Lagging,Lucro / produtividade,fórmula direta com teto de atribuição,Quase-experimental,Alta,M2
RH-10,Empresas / RH,Executiva,Impacto,ROI de desenvolvimento,O desenvolvimento compensa o investimento?,Retorno financeiro líquido das jornadas.,(benefícios atribuídos − custo total) / custo total,%,Maior é melhor,Trimestral,Financeiro + outcomes,"programa, unidade, cohort",Financeiro / RH,Lagging,ROI,benefício líquido / investimento,Quase-experimental,Alta,M2
COM-01,Compras / Fornecedores,Compras,Insumo,Cobertura de categorias,Há oferta qualificada para as demandas críticas?,Categorias com fornecedores elegíveis.,categorias cobertas / categorias prioritárias,%,Maior é melhor,Mensal,Fornecedor + categoria,"categoria, região, porte",Compras,Leading,Risco / continuidade,não monetizar isoladamente,Descritivo,Alta,M0
COM-02,Compras / Fornecedores,Compras,Processo,Tempo de homologação,Quanto tempo leva para qualificar oferta?,Dias entre início e aprovação.,data aprovação − data início,dias,Menor é melhor,Mensal,Compras + fornecedor,"categoria, complexidade",Compras,Lagging,Custo / ciclo,dias reduzidos × custo da equipe + custo de atraso,Quase-experimental,Alta,M1
COM-03,Compras / Fornecedores,Compras,Processo,Taxa de match elegível,A plataforma encontra oferta realmente apta?,Matches que atendem requisitos obrigatórios.,matches elegíveis / matches gerados,%,Maior é melhor,Semanal,Match + oportunidade,"categoria, modelo, entidade",Inteligência,Leading,Conversão / risco,valor de ciclo evitado por match inválido,Descritivo,Alta,M0
COM-04,Compras / Fornecedores,Compras,Processo,Ciclo de contratação,Quanto tempo do pedido ao contrato?,Dias entre demanda e assinatura.,data contrato − data demanda,dias,Menor é melhor,Mensal,Oportunidade + contrato,"categoria, valor, complexidade",Compras,Lagging,Custo / receita,dias reduzidos × custo do atraso,Quase-experimental,Alta,M1
COM-05,Compras / Fornecedores,Compras,Resultado,Conversão match → contrato,Quantas conexões viram negócio?,Contratos originados de matches aceitos.,contratos / matches aceitos,%,Maior é melhor,Mensal,Match + contrato,"categoria, entidade, empresa",Marketplace,Lagging,Receita / eficiência,contratos incrementais × margem média,Quase-experimental,Alta,M1
COM-06,Compras / Fornecedores,Executiva,Impacto,Saving comprovado,Quanto custo foi reduzido sem perda de qualidade?,Diferença ajustada entre preço de referência e realizado.,(preço referência − preço realizado) × volume × atribuição,R$,Maior é melhor,Mensal,Compras + financeiro,"categoria, contrato, empresa",Compras / Financeiro,Lagging,Custo / margem,saving validado pela controladoria,Quase-experimental,Alta,M2
COM-07,Compras / Fornecedores,Compras,Resultado,Desempenho do fornecedor,"A nova oferta entrega qualidade, prazo e serviço?",Score pós-contratação.,"média ponderada(qualidade, prazo, SLA, risco)",score,Maior é melhor,Mensal,SRM / contrato,"categoria, fornecedor",Compras,Lagging,Risco / custo,falhas evitadas × custo médio,Correlação,Média,M2
COM-08,Compras / Fornecedores,Executiva,Impacto,Spend influenciado pela HUB,Qual volume de compras passou pela inteligência?,Valor de contratos com touchpoint rastreado.,Σ valor dos contratos influenciados,R$,Contextual,Mensal,Contrato + atribuição,"categoria, empresa, entidade",Marketplace,Lagging,GMV / take rate,spend influenciado × take rate,Descritivo,Alta,M1
COM-09,Compras / Fornecedores,Executiva,Impacto,Risco de fornecimento evitado,Qual perda esperada foi reduzida?,Redução de probabilidade/impacto após mitigação.,perda esperada baseline × redução × atribuição,R$,Maior é melhor,Trimestral,GRC + SRM,"categoria, risco, empresa",Riscos,Lagging,Risco evitado,probabilidade × impacto × delta × atribuição,Quase-experimental,Média,M2
ENT-01,Entidades / Ecossistema,Entidade,Insumo,Cobertura de associados,Quanto do ecossistema possui dados utilizáveis?,Associados ativos integrados.,associados com dados / associados ativos,%,Maior é melhor,Mensal,CRM + vínculo,"setor, região, porte",Entidade,Leading,Retenção / inteligência,não monetizar isoladamente,Descritivo,Alta,M0
ENT-02,Entidades / Ecossistema,Entidade,Ação,Ativação de associados,Quantos associados usam ao menos um serviço de valor?,Associados ativos em 30 dias.,associados com evento-chave / associados elegíveis,%,Maior é melhor,Mensal,Eventos + CRM,"serviço, segmento",CS,Leading,Retenção / expansão,uplift de renovação × receita média,Descritivo,Alta,M0
ENT-03,Entidades / Ecossistema,Entidade,Resultado,Densidade da rede,O ecossistema cria conexões úteis?,Conexões efetivas sobre conexões possíveis/qualificadas.,conexões efetivas / conexões qualificadas possíveis,%,Maior é melhor,Mensal,Match + vínculo,"tipo de conexão, setor",Inteligência,Lagging,Receita / inovação,conexões incrementais × valor médio,Correlação,Média,M1
ENT-04,Entidades / Ecossistema,Entidade,Resultado,Valor entregue por associado,Quanto benefício mensurável chega a cada associado?,Benefício atribuído por associado ativo.,benefício atribuído / associados ativos,R$/associado,Maior é melhor,Trimestral,Outcomes + financeiro,"segmento, serviço",Financeiro / Entidade,Lagging,Retenção / receita,benefício deduplicado / associados,Quase-experimental,Alta,M2
ENT-05,Entidades / Ecossistema,Entidade,Resultado,Renovação de associados,O valor percebido aumenta permanência?,Taxa de renovação elegível.,renovações / contratos elegíveis,%,Maior é melhor,Mensal,CRM + contrato,"tier, segmento, uso",CS,Lagging,Receita recorrente,renovações incrementais × ARR médio × margem,Quase-experimental,Alta,M2
ENT-06,Entidades / Ecossistema,Executiva,Impacto,Receita de novos serviços,A inteligência cria ofertas monetizáveis?,Receita de serviços originados por insights da plataforma.,Σ receita reconhecida de serviços com origem HUB,R$,Maior é melhor,Mensal,Contrato + origem,"serviço, entidade, segmento",Comercial,Lagging,Receita / margem,receita × margem de contribuição,Descritivo,Alta,M1
ENT-07,Entidades / Ecossistema,Entidade,Resultado,Adoção de benchmark,O associado usa inteligência para decidir?,Empresas que consultam e executam ação após benchmark.,associados com ação / associados expostos,%,Maior é melhor,Trimestral,Benchmark + eventos,"tema, segmento",Inteligência,Lagging,Produtividade / risco,ações incrementais × valor médio validado,Correlação,Média,M2
ENT-08,Entidades / Ecossistema,Executiva,Impacto,Impacto econômico do ecossistema,Quanto valor total a rede gerou?,"Soma deduplicada de margem, saving, produtividade e risco atribuídos.",Σ benefícios atribuídos e deduplicados,R$,Maior é melhor,Semestral,Data mart financeiro,"entidade, setor, região",Financeiro,Lagging,Impacto / retenção,soma por alavanca após regras de não dupla contagem,Quase-experimental,Alta,M2
MKT-01,Marketing / Mídia,Marketing,Insumo,Alcance qualificado,A mensagem chegou ao público elegível?,Pessoas/empresas únicas dentro do ICP.,usuários únicos elegíveis alcançados,pessoas/empresas,Maior é melhor,Semanal,Mídia + CRM,"canal, campanha, segmento",Marketing,Leading,Pipeline,não monetizar isoladamente,Descritivo,Média,M0
MKT-02,Marketing / Mídia,Marketing,Ação,Custo por lead qualificado,Quanto custa gerar demanda realmente útil?,Investimento por lead que atende ICP.,custo de mídia / leads qualificados,R$/lead,Menor é melhor,Semanal,Mídia + CRM,"canal, campanha, ICP",Marketing,Lagging,CAC / custo,baseline CPL − CPL atual × volume,Descritivo,Alta,M0
MKT-03,Marketing / Mídia,Marketing,Resultado,Conversão lead → oportunidade,A demanda vira conversa comercial?,Oportunidades criadas entre leads qualificados.,oportunidades / leads qualificados,%,Maior é melhor,Semanal,CRM,"canal, campanha, segmento",Marketing / Vendas,Lagging,Pipeline / receita,oportunidades incrementais × win rate × margem média,Descritivo,Alta,M0
MKT-04,Marketing / Mídia,Executiva,Impacto,Pipeline influenciado,Qual valor de oportunidades recebeu influência rastreada?,Valor ponderado das oportunidades com touchpoint válido.,Σ valor oportunidade × probabilidade × peso de atribuição,R$,Maior é melhor,Mensal,CRM + touchpoint,"canal, campanha, produto",RevOps,Lagging,Receita,pipeline ponderado; não somar à receita fechada,Descritivo,Alta,M1
MKT-05,Marketing / Mídia,Executiva,Impacto,Margem incremental de campanha,Qual lucro adicional foi atribuído à campanha?,Margem de negócios incrementais após comparação.,receita incremental × margem × atribuição,R$,Maior é melhor,Mensal,CRM + financeiro,"canal, campanha, cohort",Financeiro / Marketing,Lagging,Lucro,delta de conversão × volume × ticket × margem,Quase-experimental,Alta,M2
MKT-06,Marketing / Mídia,Marketing,Impacto,ROAS de margem,O retorno de mídia supera o investimento?,Margem atribuída por real de mídia.,margem atribuída / investimento de mídia,x,Maior é melhor,Mensal,Financeiro + mídia,"canal, campanha",Marketing,Lagging,ROI,"usar margem, não receita bruta",Quase-experimental,Alta,M2
MKT-07,Marketing / Mídia,Marketing,Resultado,CAC por produto,Quanto custa conquistar um novo cliente?,Custos de aquisição por novo cliente.,custos de marketing e vendas / novos clientes,R$/cliente,Menor é melhor,Mensal,Financeiro + CRM,"produto, canal, segmento",RevOps,Lagging,Unit economics,CAC real por cohort,Descritivo,Alta,M1
MKT-08,Marketing / Mídia,Marketing,Resultado,Conteúdo → ação,Que conteúdo provoca comportamento de valor?,Sessões com evento-chave após exposição.,usuários com evento-chave / usuários expostos,%,Maior é melhor,Semanal,Conteúdo + eventos,"tema, canal, persona",Conteúdo,Leading,Conversão,uplift de evento × valor médio,Correlação,Média,M1
PRO-01,Produto / Plataforma,Produto,Insumo,Ativação,O usuário chega ao primeiro valor?,Usuários que completam o evento-chave no prazo.,usuários ativados / novos usuários,%,Maior é melhor,Diária,Eventos,"persona, origem, empresa",Produto,Leading,Retenção / conversão,uplift de retenção × LTV,Descritivo,Alta,M0
PRO-02,Produto / Plataforma,Produto,Ação,WAU/MAU,O uso é recorrente?,Usuários semanais sobre mensais.,WAU / MAU,%,Faixa ótima,Semanal,Eventos,"persona, módulo, empresa",Produto,Leading,Retenção,relacionar a churn antes de monetizar,Descritivo,Alta,M0
PRO-03,Produto / Plataforma,Produto,Ação,Adoção por módulo,Quais módulos geram uso real?,Clientes/usuários com evento-chave do módulo.,ativos no módulo / elegíveis,%,Maior é melhor,Semanal,Eventos + elegibilidade,"módulo, persona, plano",Produto,Leading,Expansão / churn,expansão incremental × ARR,Descritivo,Alta,M0
PRO-04,Produto / Plataforma,Produto,Processo,Time-to-value,Quanto tempo até o primeiro resultado?,Dias do onboarding ao outcome mínimo.,data primeiro valor − data início,dias,Menor é melhor,Semanal,Eventos + outcome,"persona, produto, implantação",CS / Produto,Lagging,Churn / custo,redução de churn × ARR + horas de CS evitadas,Correlação,Alta,M1
PRO-05,Produto / Plataforma,Produto,Resultado,Retenção de cohort,O usuário continua ativo após receber valor?,Percentual ativo em D30/D90/D180.,ativos no período / cohort inicial,%,Maior é melhor,Mensal,Eventos,"cohort, plano, módulo",Produto,Lagging,LTV / receita,retenção incremental × receita média,Descritivo,Alta,M1
PRO-06,Produto / Plataforma,Produto,Resultado,Churn de clientes,Quais clientes cancelam e por quê?,Clientes perdidos sobre base inicial.,clientes cancelados / clientes no início,%,Menor é melhor,Mensal,CRM + contrato,"produto, segmento, uso",CS,Lagging,Receita recorrente,ARR preservado × margem,Descritivo,Alta,M1
PRO-07,Produto / Plataforma,Inteligência,Resultado,Precisão do match,O ranking coloca opções relevantes no topo?,Qualidade do ranking por decisão real.,"NDCG@k, precision@k ou aceitos/top k",score,Maior é melhor,Semanal,Match + decisão,"modelo, oportunidade, segmento",Data Science,Lagging,Conversão / ciclo,uplift de contratos × margem ou tempo evitado,Quase-experimental,Alta,M1
PRO-08,Produto / Plataforma,Inteligência,Resultado,Uplift da recomendação,A recomendação melhora o resultado versus não recomendar?,Diferença de outcome entre tratamento e comparável.,outcome tratamento − outcome controle,p.p.,Maior é melhor,Mensal,Experimento / cohort,"modelo, ação, segmento",Data Science,Lagging,Receita / custo,uplift × população × valor por outcome,Experimental,Alta,M2
PRO-09,Produto / Plataforma,Executiva,Impacto,ARR,Qual receita recorrente anual está contratada?,Receita recorrente anualizada.,MRR recorrente × 12,R$,Maior é melhor,Mensal,Contrato + financeiro,"produto, entidade, segmento",Financeiro,Lagging,Receita recorrente,valor contratual anual,Descritivo,Alta,M0
PRO-10,Produto / Plataforma,Executiva,Impacto,LTV/CAC,O crescimento gera valor econômico?,Valor de vida do cliente sobre custo de aquisição.,((ARPA × margem bruta) / churn mensal) / CAC,x,Maior é melhor,Mensal,Financeiro + CRM,"produto, cohort, segmento",Financeiro,Lagging,Unit economics,LTV / CAC,Descritivo,Alta,M2
FIN-01,Financeiro / Impacto,Executiva,Impacto,Benefício bruto atribuído,Quanto valor total foi provado antes do investimento?,Soma deduplicada dos benefícios após atribuição.,Σ benefícios atribuídos por alavanca,R$,Maior é melhor,Trimestral,Data mart financeiro,"cliente, programa, alavanca",Financeiro,Lagging,Valor total,soma após regras de deduplicação,Quase-experimental,Alta,M2
FIN-02,Financeiro / Impacto,Executiva,Impacto,Benefício líquido,Qual valor sobra após o investimento?,Benefício bruto menos investimento total.,benefício bruto − investimento total,R$,Maior é melhor,Trimestral,Financeiro,"cliente, programa",Financeiro,Lagging,Lucro / ROI,benefício bruto − licença − serviços − custo interno,Quase-experimental,Alta,M2
FIN-03,Financeiro / Impacto,Executiva,Impacto,ROI do cliente,O investimento na HUB retorna valor?,Retorno líquido sobre o investimento.,(benefício bruto − investimento) / investimento,%,Maior é melhor,Trimestral,Financeiro,"cliente, programa, cenário",Financeiro,Lagging,ROI,benefício líquido / investimento,Quase-experimental,Alta,M2
FIN-04,Financeiro / Impacto,Executiva,Impacto,Payback,Quando o investimento se paga?,Meses para benefício acumulado cobrir investimento.,investimento / (benefício anual / 12),meses,Menor é melhor,Trimestral,Financeiro,"cliente, programa",Financeiro,Lagging,Caixa,investimento / benefício mensal,Quase-experimental,Alta,M2
FIN-05,Financeiro / Impacto,Executiva,Impacto,Margem incremental,Quanto do resultado adicional vira margem?,Receita incremental multiplicada pela margem de contribuição.,receita incremental × margem × atribuição,R$,Maior é melhor,Mensal,CRM + financeiro,"cliente, produto, origem",Financeiro,Lagging,Lucro,não somar receita bruta e margem como benefícios distintos,Quase-experimental,Alta,M2
FIN-06,Financeiro / Impacto,Executiva,Impacto,Custo evitado,Qual despesa deixou de ocorrer?,Diferença ajustada de custo mantendo escopo e qualidade.,custo baseline − custo realizado − custos de mudança,R$,Maior é melhor,Mensal,Financeiro + operação,"centro de custo, alavanca",Controladoria,Lagging,Custo / margem,delta validado pela controladoria,Quase-experimental,Alta,M2
FIN-07,Financeiro / Impacto,Executiva,Impacto,Risco evitado,Qual perda esperada foi reduzida?,Variação de perda esperada atribuída.,(probabilidade × impacto) baseline − residual,R$,Maior é melhor,Trimestral,GRC + financeiro,"risco, controle, cliente",Riscos,Lagging,Risco,perda esperada × redução × atribuição,Quase-experimental,Alta,M2
FIN-08,Financeiro / Impacto,HUB,Impacto,Receita HUB por vertente,Quais frentes monetizam e com que qualidade?,"Receita reconhecida por licenciamento, serviços e marketplace.",Σ receita reconhecida por vertente,R$,Maior é melhor,Mensal,ERP + contrato,"vertente, produto, cliente",Financeiro HUB,Lagging,Receita,receita reconhecida,Descritivo,Alta,M0
FIN-09,Financeiro / Impacto,HUB,Impacto,Margem de contribuição HUB,Qual receita paga custos variáveis e financia escala?,Receita menos custos variáveis diretos.,(receita − custos variáveis) / receita,%,Maior é melhor,Mensal,ERP,"produto, cliente, projeto",Financeiro HUB,Lagging,Margem,receita − custo variável,Descritivo,Alta,M1
FIN-10,Financeiro / Impacto,HUB,Impacto,Receita recorrente líquida,A base cresce após expansão e churn?,Variação líquida da receita recorrente.,MRR inicial + expansão − contração − churn,R$/mês,Maior é melhor,Mensal,Billing + CRM,"produto, cohort, segmento",Financeiro HUB,Lagging,Receita recorrente,NRR = MRR final / MRR inicial,Descritivo,Alta,M1
DAT-01,Inteligência / Dados,Dados,Qualidade,Completude de dados críticos,Os campos essenciais existem?,Percentual de valores válidos em campos críticos.,valores válidos / valores esperados,%,Maior é melhor,Diária,Observabilidade,"fonte, campo, domínio",Data Governance,Leading,Confiabilidade,não monetizar isoladamente,Descritivo,Alta,M0
DAT-02,Inteligência / Dados,Dados,Qualidade,Atualidade dos dados,Os dados chegam a tempo da decisão?,Registros dentro do SLA de atualização.,registros no SLA / registros esperados,%,Maior é melhor,Diária,Pipelines,"fonte, domínio",Data Engineering,Leading,Risco / decisão,incidentes evitados × custo médio,Descritivo,Alta,M0
DAT-03,Inteligência / Dados,Dados,Qualidade,Taxa de identidade resolvida,Conseguimos conectar a mesma entidade entre fontes?,Registros conciliados com chave confiável.,identidades resolvidas / registros elegíveis,%,Maior é melhor,Diária,MDM,"fonte, entidade",Data Engineering,Leading,Atribuição / qualidade,redução de retrabalho e dupla contagem,Descritivo,Alta,M0
DAT-04,Inteligência / Dados,Inteligência,Modelo,Cobertura de score,Para quantos casos o modelo produz score válido?,Casos elegíveis com score dentro do SLA.,casos com score / casos elegíveis,%,Maior é melhor,Diária,MLOps,"modelo, segmento",Data Science,Leading,Escala,não monetizar isoladamente,Descritivo,Média,M1
DAT-05,Inteligência / Dados,Inteligência,Modelo,Acurácia / calibração,O score corresponde à probabilidade real?,Performance preditiva e calibração por cohort.,"métrica adequada ao modelo: AUC, MAE, Brier",score,Maior é melhor,Mensal,Predição + outcome,"modelo, cohort, segmento",Data Science,Lagging,Conversão / risco,uplift de decisão × valor por outcome,Quase-experimental,Alta,M1
DAT-06,Inteligência / Dados,Inteligência,Modelo,Fairness do modelo,O desempenho varia de forma injustificada entre grupos?,"Diferença de erro, seleção ou calibração entre cohorts protegidos.",máx diferença entre grupos em métrica definida,p.p.,Menor é melhor,Mensal,Predição + outcome + cohort,"grupo, modelo, decisão",AI Governance,Lagging,Risco / confiança,risco esperado de decisão inadequada,Quase-experimental,Alta,M1
DAT-07,Inteligência / Dados,Inteligência,Modelo,Drift de dados / modelo,A população ou relação mudou?,Divergência de distribuição e queda de performance.,PSI / divergência / delta de performance,índice,Menor é melhor,Semanal,MLOps,"feature, modelo, segmento",Data Science,Leading,Risco / performance,perda esperada durante drift × tempo de resposta,Descritivo,Média,M1
DAT-08,Inteligência / Dados,Executiva,Evidência,Índice de confiança do impacto,Quão sólida é a prova apresentada?,"Score de qualidade de baseline, comparação, amostra e atribuição.","média ponderada(baseline, controle, amostra, rastreabilidade)",score 0–100,Maior é melhor,Trimestral,Metadados de análise,"indicador, cliente, programa",Inteligência / Financeiro,Lagging,Confiança,aplicar haircut financeiro conforme nível de evidência,Quase-experimental,Alta,M2
