record_type,source_sheet,source_id,source_name,canonical_name,canonical_key,aliases,internal_mapping,external_mapping,cardinality,temporal_requirement,governance_traceability,decision,status,correction_issue_id
entity,02_Nos_de_Dados,N18,Indicador de negócio,Indicador de negócio,business_metric_id,kpi|business metric|indicador, fact_business_metric.metric_id,BI.metric_id,1:N periods,period_start/period_end,definition_version|owner,unchanged,verified,
entity,02_Nos_de_Dados,N19,Outcome individual,Outcome individual,outcome_id,outcome|resultado individual, fact_outcome.outcome_id,HRIS/Survey.outcome_id,1:N observations,baseline_at/observed_at,consent_id|evidence_id,unchanged,verified,
entity,02_Nos_de_Dados,N20,Cohort,Cohort,cohort_id,coorte|cohort,dim_cohort.cohort_id,BI.cohort_external_id,1:N members,analysis_window_start/end,definition_version|anonymization_rule,unchanged,verified,
entity,02_Nos_de_Dados,N21,Benchmark,Benchmark,benchmark_id,benchmark|referencia,dim_benchmark.benchmark_id,DataMart.benchmark_id,1:N observations,period and sample window,anonymization_rule|minimum_sample,unchanged,verified,
entity,02_Nos_de_Dados,N22,Risco / controle,Risco / controle,risk_id,risco|controle|risk|control,dim_risk.risk_id,GRC.risk_id,1:N assessments,identified_at/reviewed_at,owner|control_id,unchanged,verified,
entity,02_Nos_de_Dados,N23,Conteúdo / campanha,Conteúdo / campanha,content_id,conteudo|campanha|content|campaign,dim_content.content_id,Media.campaign_id|UTM,1:N exposures/actions,published_at/attribution_window,utm|owner,unchanged,verified,
entity,02_Nos_de_Dados,N24,Consentimento,Consentimento,consent_id,consent|consentimento,dim_consent.consent_id,CMP.consent_id,1:N purposes,granted_at/revoked_at,legal_basis|purpose|version,unchanged,verified,
entity,02_Nos_de_Dados,N25,Versão de modelo,Versão de modelo,model_version_id,modelo|model version,dim_model_version.model_version_id,MLOps.model_version_id,1:N predictions,release_at/retired_at,features_hash|fairness_report,unchanged,verified,
relationship,03_Conexoes,E01,Pessoa→Empresa,Pessoa→Empresa,relationship_id,possui vínculo com,person_id + company_id,HRIS.person_external_id + company_id,N:M temporal,valid_from/valid_to,consent_id|source_system,unchanged,verified,
relationship,03_Conexoes,E02,Empresa→Entidade,Empresa→Entidade,association_id,é associada a,company_id + entity_id,CRM.company_id + entity_id,N:M temporal,valid_from/valid_to,contract_id,unchanged,verified,
relationship,03_Conexoes,E03,Pessoa→Competência,Pessoa→Competência,person_skill_id,demonstra,person_id + skill_id,Assessment.person_id + skill_external_id,N:M temporal,assessed_at/valid_until,evidence_id|consent_id,unchanged,verified,
relationship,03_Conexoes,E04,Oportunidade→Competência,Oportunidade→Competência,opportunity_skill_id,requer,opportunity_id + skill_id,ATS.opportunity_id + Taxonomy.skill_id,N:M until close,required_until,source_description,unchanged,verified,
relationship,03_Conexoes,E05,Pessoa→Recomendação,Pessoa→Recomendação,recommendation_id,recebe,person_id + recommendation_id,Platform.person_id + recommendation_id,1:N,generated_at/expires_at,model_version_id,unchanged,verified,
relationship,03_Conexoes,E06,Recomendação→Jornada,Recomendação→Jornada,recommendation_journey_id,propõe,recommendation_id + journey_id,Platform.recommendation_id + LMS.journey_id,1:N,suggested_window,model_version_id,unchanged,verified,
relationship,03_Conexoes,E07,Pessoa→Programa,Pessoa→Programa,participation_id,participa de,person_id + program_id,Events.person_id + PMO.program_id,N:M temporal,exposure_at/completed_at,consent_id,unchanged,verified,
relationship,03_Conexoes,E08,Programa→Outcome,Programa→Outcome,program_outcome_id,altera,program_id + outcome_id,PMO.program_id + Survey.outcome_id,1:N,pre/post windows,cohort_id|method_version,unchanged,verified,
relationship,03_Conexoes,E09,Outcome→KPI,Outcome→KPI,outcome_metric_id,contribui para,outcome_id + business_metric_id,BI.outcome_id + metric_id,N:M period,period alignment,method_version,unchanged,verified,
relationship,03_Conexoes,E10,Fornecedor→Oportunidade,Fornecedor→Oportunidade,submission_id,responde a,supplier_id + opportunity_id,SRM.supplier_id + ATS.opportunity_id,N:M until close,submitted_at/closed_at,eligibility_rule,unchanged,verified,
relationship,03_Conexoes,E11,Match→Contrato,Match→Contrato,origin_touchpoint,gera,match_id + contract_id,Matching.match_id + CRM.contract_id,1:N attribution,attribution_window,model_version_id|touchpoint,unchanged,verified,
relationship,03_Conexoes,E12,Contrato→Transação,Contrato→Transação,transaction_id,gera,contract_id + transaction_id,ERP.contract_id + transaction_id,1:N,competence/recognized_at,reconciliation_id,unchanged,verified,
relationship,03_Conexoes,E13,Campanha→Oportunidade,Campanha→Oportunidade,touchpoint_id,influencia,content_id + opportunity_id,UTM.campaign_id + CRM.opportunity_id,N:M attribution,30-180d window,attribution_model,unchanged,verified,
relationship,03_Conexoes,E14,Diagnóstico→Risco,Diagnóstico→Risco,assessment_risk_id,identifica,assessment_id + risk_id,Platform.assessment_id + GRC.risk_id,N:M until review,identified_at/reviewed_at,instrument_version,unchanged,verified,
relationship,03_Conexoes,E15,Risco→KPI,Risco→KPI,risk_metric_id,afeta,risk_id + business_metric_id,GRC.risk_id + BI.metric_id,N:M period,12-month window,probability|impact,unchanged,verified,
relationship,03_Conexoes,E16,Empresa→Benchmark,Empresa→Benchmark,benchmark_observation_id,é comparada em,company_id + benchmark_id,BI.company_id + benchmark_id,N:M period,same period,anonymization_rule,unchanged,verified,
relationship,03_Conexoes,E17,Evento→Recomendação,Evento→Recomendação,event_recommendation_id,atualiza,event_id + recommendation_id,SDK.event_id + Platform.recommendation_id,N:M,occurred_at/ingested_at,consent_id,unchanged,verified,
relationship,03_Conexoes,E18,Modelo→Match,Modelo→Match,model_version_id,produz,model_version_id + match_id,MLOps.model_version_id + Matching.match_id,1:N release,generated_at,features_hash|fairness_report,unchanged,verified,
relationship,03_Conexoes,E19,Cohort→Pessoa,Cohort→Pessoa,cohort_membership_id,contém,cohort_id + person_id,BI.cohort_id + HRIS.person_id,N:M window,analysis window,definition_version,unchanged,verified,
relationship,03_Conexoes,E20,Consentimento→Pessoa,Consentimento→Pessoa,consent_id,autoriza finalidade para,consent_id + person_id,CMP.consent_id + HRIS.person_id,1:N purposes,granted_at/revoked_at,legal_basis|purpose|version,unchanged,verified,
