Dicionário de dados mínimo
,
Campos necessários para instrumentar o mapa neural e os indicadores prioritários.
,
Tabela,Campo,Tipo,Definição,Chave,Obrigatório,Exemplo,Sensibilidade,Base legal / finalidade,Origem,Frequência,Regra de qualidade
fact_assessment,dimension_score,decimal,Score por dimensão.,,Sim,,Alta,Diagnóstico,Plataforma,Evento,faixa definida
fact_event,event_id,UUID,Identificador do evento de produto.,PK,Sim,ev_01...,Média,Analytics,SDK,Tempo real,único e idempotente
fact_event,event_name,string,Nome padronizado do evento.,,Sim,recommendation_accepted,Baixa,Analytics,SDK,Tempo real,catálogo válido
fact_event,occurred_at,timestamp,Momento UTC do evento.,,Sim,2026-08-18T12:00Z,Média,Analytics,SDK,Tempo real,não futuro; timezone UTC
fact_event,object_id,UUID,Objeto afetado pelo evento.,FK,Não,rec_01...,Média,Analytics,SDK,Tempo real,existir no domínio
fact_opportunity,opportunity_id,UUID,Demanda rastreável.,PK,Sim,op_01...,Média,Execução / interesse legítimo,ATS/CRM/Compras,Diária,único
fact_opportunity,value,decimal,Valor potencial da oportunidade.,,Não,,Alta,Mensuração financeira,CRM,Diária,moeda e estágio presentes
fact_opportunity,stage,enum,Estágio do funil.,,Sim,proposal,Média,Operação,CRM,Diária,transições válidas
fact_match,match_id,UUID,Par oferta-demanda avaliado.,PK,Sim,m_01...,Média,Recomendação,Motor,Tempo real,único por versão
fact_match,score,decimal,Compatibilidade explicável.,,Sim,,Média,Recomendação,Motor,Tempo real,0 a 1
fact_match,model_version_id,string,Versão que produziu o score.,FK,Sim,match_v7,Média,Auditabilidade,MLOps,Tempo real,versão registrada
fact_participation,participation_id,UUID,Exposição a programa ou ação.,PK,Sim,pt_01...,Alta,Execução do serviço,Eventos/LMS,Evento,único por pessoa-ação
fact_participation,dose,decimal,Intensidade/duração da exposição.,,Não,,Média,Mensuração de efeito,Eventos/LMS,Evento,unidade definida
fact_contract,contract_id,UUID,Contrato fechado.,PK,Sim,ct_01...,Alta,Execução do contrato,CRM/ERP,Diária,conciliado
fact_contract,origin_touchpoint,UUID,Touchpoint ou match de origem.,FK,Não,m_01...,Média,Atribuição,CRM,Diária,janela válida
fact_transaction,amount,decimal,Valor reconhecido ou pago.,,Sim,,Alta,Execução do contrato,ERP,Diária,conciliação financeira
fact_business_metric,metric_id,string,Indicador de negócio acordado.,PK parcial,Sim,turnover,Alta,Mensuração,BI cliente,Mensal,dicionário e owner definidos
fact_business_metric,baseline_value,decimal,Valor antes da intervenção.,,Sim,,Alta,Mensuração,BI cliente,Mensal,mesma definição do pós
fact_business_metric,observed_value,decimal,Valor observado no período.,,Sim,,Alta,Mensuração,BI cliente,Mensal,mesma população e janela
fact_financial_value,lever,enum,Alavanca financeira deduplicada.,,Sim,retention,Alta,Prova de valor,Data mart,Trimestral,taxonomia financeira
fact_financial_value,gross_value,decimal,Valor antes da atribuição.,,Sim,,Alta,Prova de valor,Data mart,Trimestral,fonte e fórmula registradas
fact_financial_value,attribution_rate,decimal,Parcela atribuída à HUB.,,Sim,,Alta,Prova de valor,Metodologia,Trimestral,0 a 1; evidência associada
fact_financial_value,evidence_level,enum,Força metodológica da estimativa.,,Sim,quase_experimental,Média,Transparência,Metadados,Trimestral,catálogo válido
dim_cohort,cohort_definition,json,Critérios imutáveis do grupo.,,Sim,{...},Alta,Mensuração,Camada analítica,Mensal,versionado e reproduzível
dim_model_version,features_hash,string,Hash das features e pesos.,,Sim,sha256...,Média,Auditabilidade,MLOps,Release,imutável
